iter	MultiClass
0	0.9741301033
1	0.872896353
2	0.7855824857
3	0.7144665947
4	0.6526374954
5	0.5985619938
6	0.5509408112
7	0.5095381363
8	0.4742499523
9	0.4434912473
10	0.4151807387
11	0.3893965014
12	0.3642523215
13	0.3433071702
14	0.3226445842
15	0.3045903002
16	0.2884594099
17	0.2741572781
18	0.2607157663
19	0.2484507175
20	0.2358086767
21	0.2243283309
22	0.2144382784
23	0.2059371052
24	0.1982301436
25	0.1903889297
26	0.1823763863
27	0.175690989
28	0.1696441659
29	0.1633718163
30	0.1584351115
31	0.1531321593
32	0.1478690787
33	0.143023899
34	0.1392082188
35	0.135327758
36	0.1319579208
37	0.128402932
38	0.1254514639
39	0.1222959903
40	0.1193661856
41	0.1173715388
42	0.1164350417
43	0.1141042789
44	0.1111742621
45	0.1090228084
46	0.1064203741
47	0.1045350385
48	0.1037790307
49	0.1024276228
50	0.1009113999
51	0.09925508487
52	0.09783171643
53	0.09647510231
54	0.09512613526
55	0.09447665833
56	0.09350511341
57	0.09252938513
58	0.09159387757
59	0.09057065851
60	0.08930699913
61	0.08831448214
62	0.0871087982
63	0.08651273653
64	0.08581742697
65	0.08488822807
66	0.08393915089
67	0.08312361861
68	0.08230622008
69	0.08196640453
70	0.08136092391
71	0.0810305893
72	0.08049936383
73	0.07984151494
74	0.07922667761
75	0.07867004984
76	0.07820512476
77	0.07775377286
78	0.07704180535
79	0.07631652762
80	0.0759491513
81	0.07532573641
82	0.07493604334
83	0.07440240866
84	0.07386510231
85	0.07303171215
86	0.07234949792
87	0.07199497672
88	0.07114178878
89	0.07058239792
90	0.07011592663
91	0.0695009787
92	0.0688111747
93	0.06841051472
94	0.06786341706
95	0.06746228382
96	0.0672317375
97	0.06687512906
98	0.06618469933
99	0.06554791947
100	0.06499215927
101	0.06452442089
102	0.06404709343
103	0.0634006014
104	0.06286263178
105	0.06246605971
106	0.0620757358
107	0.06140838761
108	0.06114164694
109	0.06051207587
110	0.0601498906
111	0.05978117014
112	0.05936010973
113	0.0588710898
114	0.0583946512
115	0.05806093325
116	0.05774675077
117	0.05737323115
118	0.0570044097
119	0.05673548954
120	0.05621427022
121	0.05580014269
122	0.05560299644
123	0.0552146447
124	0.05501427279
125	0.0546705344
126	0.05440169676
127	0.05403880737
128	0.05362077856
129	0.05327911008
130	0.05277339909
131	0.05236515635
132	0.05200364906
133	0.0517303335
134	0.05116097888
135	0.05089885596
136	0.05050279539
137	0.05012142482
138	0.04978735182
139	0.04950167446
140	0.04917281293
141	0.04894359316
142	0.04866228519
143	0.04836391829
144	0.04811729918
145	0.04782376866
146	0.04759596588
147	0.0473222688
148	0.04691513271
149	0.04661819055
150	0.04640488493
151	0.04623717721
152	0.0459219697
153	0.04561313612
154	0.04540583274
155	0.04491031696
156	0.04475284892
157	0.04458699757
158	0.04434109754
159	0.04407904962
160	0.04387070326
161	0.04363704584
162	0.0433433767
163	0.04311575227
164	0.04261320729
165	0.04232021358
166	0.04192645077
167	0.0417048988
168	0.04152107387
169	0.0410599306
170	0.04080538379
171	0.04051898108
172	0.04041165028
173	0.04008896259
174	0.03994598765
175	0.03974073463
176	0.03938887038
177	0.03920782272
178	0.03907081816
179	0.03877683903
180	0.03862391142
181	0.03843837822
182	0.03823092277
183	0.03805985194
184	0.03789796616
185	0.03771836771
186	0.03759916661
187	0.0373733849
188	0.03721676922
189	0.03707808898
190	0.0369830881
191	0.03676395557
192	0.03656852346
193	0.03643299345
194	0.03631917161
195	0.03618218616
196	0.03599309366
197	0.03587790802
198	0.03571134112
199	0.03566038899
200	0.03560352993
201	0.03549721918
202	0.03528541532
203	0.03515921598
204	0.0348890235
205	0.03476674289
206	0.03459512473
207	0.03431781379
208	0.03421305119
209	0.03408283336
210	0.03392331125
211	0.03378138918
212	0.03364780065
213	0.0334724397
214	0.0332342988
215	0.03305310634
216	0.03290948322
217	0.03279517646
218	0.03268190696
219	0.03246480076
220	0.03225974475
221	0.03214162968
222	0.03194011756
223	0.03169392754
224	0.03161207785
225	0.0314767699
226	0.03137617024
227	0.03105833721
228	0.03086101579
229	0.03075252541
230	0.0306165192
231	0.03047985969
232	0.03032770979
233	0.03019597648
