iter	Passed	Remaining
0	1	1937
1	5	2617
2	8	2936
3	11	2924
4	14	2954
5	17	2976
6	21	3020
7	24	3059
8	28	3134
9	33	3361
10	38	3482
11	44	3640
12	47	3592
13	52	3679
14	57	3757
15	62	3824
16	66	3860
17	71	3907
18	76	3943
19	81	3991
20	86	4021
21	90	4045
22	95	4076
23	101	4107
24	105	4129
25	110	4148
26	115	4165
27	120	4195
28	126	4225
29	131	4244
30	136	4261
31	141	4274
32	143	4202
33	148	4214
34	153	4226
35	158	4246
36	160	4178
37	165	4188
38	170	4193
39	175	4210
40	180	4221
41	185	4227
42	191	4255
43	196	4269
44	201	4285
45	207	4302
46	212	4310
47	218	4328
48	223	4340
49	229	4351
50	233	4351
51	238	4352
52	244	4360
53	249	4364
54	253	4360
55	258	4352
56	263	4361
57	268	4362
58	273	4363
59	279	4379
60	284	4379
61	289	4375
62	294	4373
63	298	4367
64	303	4366
65	309	4374
66	314	4374
67	319	4378
68	324	4379
69	329	4373
70	334	4375
71	339	4369
72	343	4362
73	348	4360
74	353	4356
75	358	4357
76	363	4360
77	368	4360
78	373	4356
79	378	4357
80	383	4352
81	387	4342
82	392	4337
83	397	4334
84	402	4330
85	406	4321
86	411	4320
87	416	4313
88	420	4303
89	424	4292
90	428	4282
91	433	4274
92	437	4263
93	441	4252
94	445	4243
95	450	4241
96	454	4230
97	458	4220
98	462	4213
99	467	4204
100	471	4197
101	475	4190
102	480	4182
103	484	4176
104	489	4171
105	494	4168
106	498	4164
107	503	4155
108	507	4150
109	512	4143
110	516	4136
111	521	4132
112	525	4124
113	529	4117
114	534	4109
115	537	4097
116	540	4081
117	543	4064
118	546	4047
119	549	4030
120	552	4013
121	555	3996
122	558	3980
123	561	3968
124	564	3953
125	567	3937
126	570	3921
127	573	3906
128	576	3891
129	579	3876
130	582	3866
131	585	3851
132	588	3836
133	591	3822
134	594	3808
135	597	3793
136	600	3780
137	603	3768
138	606	3754
139	608	3740
140	612	3730
141	615	3716
142	618	3704
143	621	3692
144	623	3679
145	627	3668
146	630	3655
147	632	3643
148	635	3631
149	638	3619
150	641	3609
151	644	3597
152	647	3585
153	650	3574
154	653	3563
155	656	3552
156	660	3544
157	662	3532
158	665	3521
159	668	3510
160	671	3499
161	674	3488
162	677	3478
163	680	3468
164	683	3457
165	686	3447
166	689	3438
167	692	3428
168	695	3418
169	698	3408
170	701	3402
171	704	3392
172	707	3383
173	710	3374
174	713	3365
175	716	3355
176	719	3346
177	722	3336
178	725	3327
179	728	3318
180	731	3309
181	734	3300
182	737	3292
183	740	3284
184	743	3276
185	746	3267
186	749	3259
187	752	3250
188	755	3241
189	758	3235
190	762	3228
191	765	3220
192	768	3212
193	771	3204
194	774	3196
195	777	3187
196	780	3179
197	783	3171
198	786	3163
199	789	3156
200	791	3148
201	795	3140
202	798	3133
203	800	3124
204	804	3119
205	807	3111
206	810	3103
207	813	3096
208	816	3088
209	819	3081
210	822	3074
211	825	3066
212	827	3058
213	830	3051
214	834	3045
215	837	3038
216	840	3031
217	842	3023
218	845	3016
219	849	3010
220	852	3003
221	855	2996
222	858	2989
223	861	2982
224	864	2977
225	867	2970
226	870	2965
227	873	2958
228	876	2952
229	879	2945
230	883	2941
231	887	2937
232	890	2932
233	895	2930
234	899	2926
235	902	2922
236	905	2915
237	908	2909
238	911	2902
239	914	2896
240	917	2889
241	920	2884
242	923	2878
243	926	2871
244	929	2865
245	932	2859
246	935	2852
247	939	2847
248	941	2841
249	945	2835
250	948	2829
251	951	2823
252	954	2816
253	956	2810
254	960	2805
255	964	2803
256	968	2800
257	972	2796
258	975	2790
